iter	Passed	Remaining
0	3	5585
1	6	4581
2	8	4265
3	12	4611
4	16	4886
5	18	4647
6	21	4486
7	23	4312
8	24	4132
9	26	3983
10	28	3921
11	30	3818
12	32	3733
13	34	3673
14	36	3611
15	38	3582
16	40	3563
17	42	3523
18	45	3525
19	47	3487
20	49	3467
21	51	3446
22	53	3451
23	56	3446
24	58	3456
25	60	3444
26	62	3436
27	65	3417
28	67	3410
29	69	3390
30	71	3385
31	73	3364
32	75	3352
33	77	3353
34	81	3405
35	85	3477
36	88	3481
37	90	3472
38	92	3459
39	94	3453
40	96	3434
41	98	3420
42	100	3404
43	102	3391
44	105	3401
45	107	3393
46	109	3388
47	111	3383
48	113	3370
49	115	3354
50	117	3340
51	119	3336
52	121	3318
53	123	3306
54	125	3290
55	127	3277
56	128	3264
57	130	3250
58	132	3236
59	134	3232
60	136	3222
61	138	3214
62	140	3199
63	142	3188
64	143	3176
65	145	3164
66	147	3165
67	150	3161
68	152	3156
69	154	3155
70	156	3157
71	159	3163
72	161	3163
73	164	3177
74	166	3172
75	169	3182
76	172	3189
77	175	3195
78	178	3208
79	181	3217
80	184	3225
81	186	3230
82	189	3237
83	192	3250
84	196	3276
85	200	3292
86	203	3303
87	208	3337
88	211	3355
89	215	3372
90	217	3375
91	225	3444
92	227	3447
93	231	3463
94	234	3467
95	237	3469
96	240	3473
97	242	3472
98	246	3486
99	248	3485
100	251	3488
101	254	3486
102	257	3491
103	260	3491
104	263	3494
105	265	3494
106	268	3495
107	271	3499
108	274	3497
109	276	3499
110	279	3500
111	282	3500
112	285	3502
113	287	3500
114	290	3499
115	293	3499
116	296	3500
117	298	3500
118	301	3498
119	304	3496
120	306	3493
121	309	3491
122	312	3495
123	315	3495
124	317	3493
125	320	3492
126	322	3486
127	325	3487
128	330	3516
129	334	3520
130	336	3513
131	338	3508
132	340	3500
133	342	3496
134	345	3489
135	347	3482
136	349	3473
137	351	3468
138	353	3461
139	355	3454
140	357	3450
141	359	3442
142	361	3434
143	364	3427
144	366	3421
145	368	3414
146	370	3407
147	372	3403
148	374	3397
149	376	3390
