iter	Passed	Remaining
0	120	360395
1	122	183734
2	125	125189
3	127	95859
4	131	78522
5	134	66994
6	136	58450
7	139	52002
8	141	46999
9	144	43116
10	146	39831
11	149	37154
12	151	34850
13	154	32892
14	156	31158
15	159	29704
16	161	28369
17	164	27235
18	166	26164
19	169	25198
20	171	24347
21	174	23595
22	176	22899
23	179	22230
24	181	21656
25	184	21092
26	186	20562
27	189	20108
28	192	19714
29	194	19294
30	197	18896
31	199	18510
32	202	18200
33	205	17917
34	211	17926
35	215	17775
36	218	17535
37	222	17307
38	225	17116
39	228	16878
40	230	16658
41	233	16440
42	235	16227
43	238	16038
44	241	15880
45	244	15692
46	246	15513
47	249	15343
48	251	15170
49	254	14999
50	257	14895
51	260	14756
52	262	14600
53	264	14455
54	267	14337
55	270	14211
56	273	14109
57	275	13985
58	278	13876
59	280	13751
60	283	13642
61	285	13528
62	288	13464
63	291	13370
64	293	13271
65	296	13177
66	298	13082
67	301	12990
68	304	12925
69	306	12849
70	309	12761
71	311	12678
72	314	12594
73	316	12524
74	319	12470
75	322	12395
76	324	12325
77	327	12256
78	329	12189
79	331	12117
80	334	12068
81	337	12007
82	339	11940
83	342	11883
84	344	11829
85	347	11782
86	351	11752
87	353	11711
88	356	11660
89	359	11611
90	361	11553
91	364	11509
92	366	11467
93	369	11415
94	371	11370
95	374	11325
96	376	11275
97	379	11230
98	382	11194
99	384	11158
100	387	11114
101	389	11068
102	392	11025
103	394	10982
104	396	10942
105	399	10919
106	402	10884
107	404	10840
108	407	10800
109	409	10759
110	412	10729
111	415	10709
112	417	10673
113	420	10641
114	422	10606
115	425	10570
116	427	10534
117	430	10516
118	433	10489
119	436	10485
120	440	10480
121	443	10457
122	446	10444
123	449	10422
124	453	10434
125	457	10443
126	461	10440
127	466	10462
128	469	10459
129	473	10445
130	475	10416
131	478	10406
132	481	10381
133	483	10351
134	486	10330
135	489	10315
136	492	10294
137	495	10284
138	498	10259
139	500	10234
140	503	10210
141	506	10197
142	510	10200
143	513	10183
144	516	10162
145	518	10137
146	521	10115
147	524	10110
148	528	10107
149	530	10086
150	533	10062
151	536	10049
152	538	10028
153	542	10019
154	545	10019
155	549	10022
156	552	9999
157	554	9979
158	558	9972
159	560	9951
160	563	9936
161	566	9918
162	568	9899
163	571	9877
164	574	9873
165	577	9853
166	579	9834
167	582	9817
168	585	9799
169	587	9777
170	590	9772
171	593	9756
172	595	9735
173	598	9725
174	602	9729
175	605	9718
176	608	9703
177	610	9685
178	613	9669
179	616	9650
180	619	9644
181	622	9634
182	624	9620
183	628	9621
184	631	9605
185	635	9607
186	639	9614
187	642	9615
188	645	9601
189	648	9597
190	653	9606
191	656	9605
192	660	9603
193	664	9605
194	667	9601
195	670	9586
196	672	9569
197	675	9557
198	677	9540
199	680	9525
200	683	9521
201	686	9514
202	690	9509
203	694	9516
204	698	9523
205	703	9535
206	706	9538
207	711	9552
208	715	9554
209	718	9552
210	722	9550
211	725	9539
212	727	9524
213	731	9523
214	734	9516
215	737	9502
216	739	9486
217	742	9474
218	745	9464
219	748	9457
220	751	9449
221	754	9435
222	756	9424
223	759	9408
224	762	9408
225	765	9397
226	768	9382
227	771	9375
228	773	9361
229	776	9350
230	780	9353
231	782	9338
232	785	9326
233	787	9313
234	790	9305
235	794	9304
236	797	9295
237	800	9285
238	803	9276
239	805	9263
240	808	9253
241	811	9251
242	815	9251
243	818	9247
244	821	9234
245	824	9225
246	828	9234
247	831	9232
248	848	9375
249	854	9394
250	858	9402
251	863	9411
252	867	9416
253	871	9419
254	876	9430
255	880	9436
256	884	9439
257	888	9439
258	891	9429
259	894	9430
260	898	9431
261	904	9451
262	907	9441
263	909	9427
264	912	9415
265	915	9408
266	917	9394
267	921	9390
268	924	9382
269	926	9369
270	929	9355
271	931	9346
272	934	9335
273	938	9341
274	941	9333
275	944	9323
276	947	9317
277	951	9314
278	954	9313
279	958	9306
280	961	9299
281	964	9298
282	969	9303
283	972	9296
284	974	9283
285	977	9274
286	980	9264
287	982	9254
288	985	9243
289	987	9231
290	991	9225
291	993	9212
292	995	9199
293	998	9192
294	1001	9182
295	1003	9170
296	1006	9162
297	1009	9154
298	1012	9142
299	1015	9137
300	1018	9128
301	1020	9116
302	1022	9105
303	1025	9096
304	1028	9087
305	1031	9078
306	1033	9067
307	1036	9055
308	1038	9044
309	1040	9032
310	1043	9020
311	1045	9011
312	1048	9002
313	1051	8990
314	1054	8984
315	1057	8979
316	1059	8966
317	1062	8965
318	1066	8959
319	1068	8948
320	1070	8936
321	1073	8924
322	1075	8916
323	1078	8906
324	1080	8894
325	1083	8883
326	1085	8872
327	1087	8861
328	1090	8850
329	1092	8840
330	1095	8832
331	1097	8821
332	1100	8811
333	1102	8800
334	1105	8792
335	1107	8782
336	1110	8772
337	1112	8763
338	1115	8753
339	1117	8743
340	1119	8732
341	1122	8723
342	1124	8713
343	1128	8709
344	1130	8699
345	1133	8690
346	1135	8680
347	1137	8670
348	1140	8660
349	1143	8655
350	1145	8644
351	1148	8636
352	1150	8626
353	1152	8617
354	1155	8607
355	1157	8600
356	1160	8592
357	1163	8586
358	1165	8576
359	1168	8567
360	1171	8561
361	1173	8555
362	1176	8549
363	1180	8550
364	1184	8550
365	1187	8546
366	1191	8549
367	1194	8542
368	1197	8536
369	1200	8530
370	1202	8524
371	1206	8521
372	1209	8517
373	1211	8508
374	1214	8501
375	1216	8493
376	1221	8495
377	1224	8497
378	1227	8489
379	1230	8481
380	1232	8473
381	1235	8464
382	1238	8463
383	1241	8455
384	1243	8446
385	1246	8438
386	1248	8432
387	1251	8423
388	1254	8418
389	1256	8411
390	1259	8404
391	1262	8396
392	1264	8390
393	1267	8385
394	1271	8383
395	1273	8374
396	1276	8368
397	1278	8359
398	1281	8350
399	1283	8341
400	1286	8338
401	1289	8331
402	1291	8322
403	1294	8314
404	1297	8313
405	1300	8306
406	1303	8307
407	1306	8299
408	1308	8290
409	1311	8283
410	1313	8275
411	1316	8268
412	1319	8267
413	1322	8259
414	1324	8251
415	1327	8243
416	1329	8234
417	1331	8227
418	1334	8223
419	1337	8214
420	1339	8207
421	1342	8200
422	1344	8191
423	1346	8183
424	1349	8179
425	1352	8173
426	1354	8164
427	1357	8156
428	1360	8154
429	1363	8149
430	1367	8152
431	1370	8146
432	1373	8141
433	1375	8134
434	1378	8126
435	1381	8121
436	1383	8115
437	1386	8107
438	1388	8100
439	1391	8093
440	1393	8086
441	1396	8079
442	1399	8078
443	1401	8070
444	1404	8062
445	1406	8054
446	1408	8046
447	1411	8041
448	1414	8036
449	1416	8029
450	1420	8028
451	1423	8022
452	1425	8016
453	1429	8015
454	1432	8010
455	1435	8006
456	1437	7999
457	1440	7993
